STATION,NAME,DATE,TAVG,TMAX,TMIN
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-28,-11,,-22
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-29,-11,,-30
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-30,-13,,-27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-31,-11,,-25
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-01,-12,,-29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-02,-17,,-27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-03,-16,,-30
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-04,-15,,-32
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-05,-14,,-32
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-06,5,,-16
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-07,-10,,-27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-08,-7,,-22
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-09,-4,,-12
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-10,1,,-5
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-11,-3,,-22
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-12,-5,,-16
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-13,-6,,-20
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-14,-4,,-27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-15,-7,,-22
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-16,-7,,-25
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-17,17,,-7
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-18,6,,-5
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-19,8,,-14
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-20,6,,-14
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-21,-6,,-24
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-22,2,,-10
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-23,-1,,-20
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-24,16,,-6
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-25,17,,11
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-26,1,,-16
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-27,-4,,-19
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-02-28,10,,-9
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-01,-3,,-14
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-02,1,,-18
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-03,4,,-13
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-04,3,,-12
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-05,-7,,-26
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-06,0,,-22
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-07,9,,-11
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-08,21,,14
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-09,27,,0
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-10,18,,11
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-11,7,,-14
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-12,-4,,-14
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-13,-4,,-18
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-14,5,,-21
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-15,7,,-8
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-16,8,,-7
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-17,14,,-7
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-18,14,,-3
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-19,19,,8
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-20,7,,-7
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-21,19,,-3
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-22,21,,13
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-23,10,,-6
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-24,20,,8
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-25,16,,8
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-26,17,,5
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-27,35,,6
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-28,32,,22
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-29,40,,17
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-30,29,,24
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-03-31,24,,18
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-01,17,,4
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-02,19,,4
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-03,28,,7
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-04,26,,9
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-05,33,,15
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-06,36,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-07,38,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-08,33,,31
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-09,31,,27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-10,31,,27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-11,36,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-12,31,,20
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-13,40,,25
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-14,33,,26
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-15,35,,17
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-16,48,,32
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-17,36,,33
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-18,36,,31
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-19,35,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-20,29,,24
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-21,26,,21
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-22,34,,21
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-23,31,,28
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-24,32,,31
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-25,29,,27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-26,31,,28
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-27,37,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-28,32,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-29,39,,23
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-04-30,39,,34
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-01,30,,27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-02,30,,21
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-03,34,,23
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-04,38,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-05,40,,27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-06,35,,24
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-07,43,,28
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-08,38,,35
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-09,32,,30
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-10,31,,28
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-11,34,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-12,34,,31
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-13,35,,31
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-14,36,,31
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-15,36,,26
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-16,35,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-17,40,,30
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-18,38,,34
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-19,41,,33
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-20,38,,28
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-21,45,,31
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-22,46,,42
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-23,36,,34
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-24,38,,33
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-25,54,,37
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-26,48,,37
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-27,53,,41
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-28,62,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-29,43,,40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-30,46,,38
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-05-31,54,,42
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-01,50,,47
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-02,40,,36
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-03,40,,34
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-04,41,,38
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-05,50,,30
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-06,51,,48
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-07,48,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-08,47,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-09,48,,41
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-10,49,,33
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-11,49,,41
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-12,49,,46
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-13,51,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-14,44,,39
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-15,49,,41
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-16,51,,44
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-17,54,,41
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-18,53,,35
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-19,53,,36
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-20,54,,41
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-21,56,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-22,50,,47
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-23,50,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-24,54,,48
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-25,51,,47
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-26,45,,42
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-27,50,,44
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-28,54,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-29,51,,46
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-06-30,53,,47
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-01,51,,43
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-02,54,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-03,56,,44
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-04,54,,51
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-05,55,,47
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-06,54,,39
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-07,59,,40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-08,57,,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-09,61,,50
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-10,64,,50
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-11,64,,48
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-12,63,,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-13,60,,50
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-14,67,,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-15,66,,58
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-16,72,,52
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-17,67,,60
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-18,65,,58
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-19,67,,55
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-20,69,,57
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-21,63,,49
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-22,63,,47
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-23,62,,46
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-24,66,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-25,63,,52
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-26,60,,54
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-27,64,,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-28,63,,55
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-29,64,,59
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-30,56,,52
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-07-31,54,,40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-01,59,,40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-02,58,,41
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-03,65,,40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-04,59,,56
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-05,66,,47
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-06,71,,60
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-07,71,,64
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-08,68,,55
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-09,65,,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-10,70,,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-11,71,,62
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-12,67,,61
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-13,67,,60
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-14,72,,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-15,74,,70
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-16,70,,62
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-17,70,,62
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-18,78,,61
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-19,78,,69
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-20,71,,67
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-21,66,,62
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-22,70,,58
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-23,65,,61
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-24,65,,60
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-25,65,,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-26,60,,52
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-27,64,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-28,69,,60
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-29,68,,61
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-30,68,,61
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-08-31,62,,58
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-01,66,,52
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-02,69,,58
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-03,72,,65
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-04,63,,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-05,63,,51
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-06,70,,63
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-07,71,,66
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-08,66,,59
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-09,65,,61
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-10,62,,56
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-11,59,,51
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-12,60,,51
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-13,58,,49
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-14,62,,57
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-15,65,,62
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-16,67,,60
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-17,58,,54
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-18,56,,52
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-19,56,,50
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-20,55,,49
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-21,51,,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-22,54,,39
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-23,54,,43
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-24,56,,43
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-25,51,,44
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-26,47,,38
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-27,47,,39
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-28,49,,38
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-29,50,,42
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-09-30,45,,36
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-01,42,,33
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-02,41,,31
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-03,46,,33
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-04,42,,35
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-05,43,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-06,46,,35
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-07,45,,40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-08,42,,35
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-09,47,,33
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-10,54,,51
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-11,46,,42
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-12,38,,31
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-13,35,,24
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-14,35,,27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-15,37,,28
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-16,43,,35
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-17,33,,29
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-18,36,,30
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-19,33,,24
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-20,42,,25
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-21,34,,27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-22,44,,26
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-23,35,,33
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-24,37,,33
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-25,46,,37
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-26,34,,26
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-27,33,,23
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-28,35,,24
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-29,32,,26
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-30,34,,26
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-10-31,34,,25
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-11-01,34,,26
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-11-02,39,,34
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-11-03,33,,33
